Domain,IP,DNS,Description
secure.example.com,40.85.140.40,Fast Hosts,
otgdevices.example.com,40.85.140.40,Fast Hosts,
epod.example.com,40.85.140.40,Fast Hosts,
pcmiles.example.com,40.85.140.40,Fast Hosts,
pcmiles.example.com,40.85.140.40,Fast Hosts,
ewseuropemiles.example.com,40.85.140.40,Fast Hosts,
examplecloud.com,13.79.241.71,Fast Hosts,
apps.examplecloud.com,13.79.241.71,Fast Hosts,
wt.examplecloud.com,52.169.113.8,Fast Hosts,
tops.example.cloud,52.164.251.2,Fast Hosts,
eclipse.example.com,13.79.161.48,Fast Hosts,
example.example.com,13.79.161.48,Fast Hosts,
example.exampleweb.cloud,13.79.161.48,Fast Hosts,
3pl.exampleweb.cloud,13.79.161.48,Fast Hosts,
awingu.exampleuk.cloud,51.104.224.123,Fast Hosts,
remote.exampleuk.cloud,51.105.55.43,Fast Hosts,
portal.exampleuk.cloud,51.104.224.123,Fast Hosts,
exampleweb.exampleuk.cloud,51.145.97.207,Fast Hosts,
example.exampleuk.cloud,51.145.97.207,Fast Hosts,
remote.exampleships.com,20.77.32.241,Fast Hosts,
portal.exampleships.com,20.68.249.179,Fast Hosts,
exampleweb.exampleships.com,51.132.174.122,Fast Hosts,
example.exampleships.com,51.132.174.122,Fast Hosts,
awingurw.example.cloud,52.233.177.155,Fast Hosts,
apm.example.com,13.95.28.33,Fast Hosts,
